bioguide_id,congress,introduced_date,number,title,type
M000355,118,2023-02-02,31,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Eighteenth Congress, or until their successors are chosen.",SRES
M000355,117,2022-11-17,5129,Mammoth Cave National Park Boundary Adjustment Act of 2022,S
M000355,117,2022-12-01,,,
M000355,117,2022-04-05,3997,Land Between the Lakes Recreation and Heritage Act,S
M000355,117,2021-09-23,386,"A resolution relative to the death of Robert Britton ""Bob"" Dove, Parliamentarian Emeritus of the United States Senate.",SRES
M000355,117,2022-02-01,3545,Federal Prisons Accountability Act of 2022,S
M000355,117,2021-01-19,5,"A resolution honoring the memory of Officer Brian David Sicknick of the United States Capitol Police for his selfless acts of heroism on the grounds of the United States Capitol on January 6, 2021.",SRES
M000355,117,2021-01-03,2,A concurrent resolution extending the life of the Joint Congressional Committee on Inaugural Ceremonies and authorizing the use of the rotunda and Emancipation Hall of the Capitol by the Joint Congressional Committee on Inaugural Ceremonies in connection with the proceedings and ceremonies conducted for the inauguration of the President-elect and the Vice President-elect of the United States.,SCONRES
M000355,117,2022-01-19,,,
M000355,117,2022-01-19,,,
M000355,117,2022-01-19,,,
M000355,117,2022-01-19,,,
M000355,117,2022-01-19,,,
M000355,116,2020-12-29,5085,"A bill to amend the Internal Revenue Code of 1986 to increase the additional 2020 recovery rebates, to repeal section 230 of the Communications Act of 1934, and for other purposes.",S
M000355,113,2014-03-27,2183,"A bill entitled ""United States International Programming to Ukraine and Neighboring Regions"".",S
M000355,117,2021-04-15,1133,Cardiovascular Advances in Research and Opportunities Legacy Act,S
M000355,117,2021-11-16,,,
M000355,117,2021-11-15,,,
M000355,116,2019-07-11,,,
M000355,116,2019-07-11,,,
M000355,116,2019-07-11,,,
M000355,116,2019-07-11,,,
M000355,116,2019-07-11,,,
M000355,116,2019-07-11,,,
M000355,116,2019-05-20,1541,Tobacco-Free Youth Act,S
M000355,116,2020-06-02,601,A resolution expressing the sense of the Senate that order must be immediately restored to the cities of the United States so that citizens may have peace and the legitimate grievances of peaceful protestors may be heard and considered.,SRES
M000355,117,2021-04-13,1091,"A bill to designate certain future interstates and high priority corridors in Kentucky, and for other purposes.",S
M000355,117,2021-04-29,189,A resolution congratulating the University of Kentucky's Women's Volleyball Team for winning the 2020 National Collegiate Athletic Association Division I Women's Volleyball Championship.,SRES
M000355,117,2021-04-21,,,
M000355,117,2021-02-03,32,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Seventeenth Congress, or until their successors are chosen.",SRES
M000355,117,2021-02-05,,,
M000355,117,2021-01-03,1,"A concurrent resolution to provide for the counting on January 6, 2021, of the electoral votes for President and Vice President of the United States.",SCONRES
M000355,116,2020-09-30,4775,"A bill to provide continued emergency assistance, educational support, and health care response for individuals, families, and businesses affected by the 2020 coronavirus pandemic.",S
M000355,117,2021-01-03,3,A resolution fixing the hour of daily meeting of the Senate.,SRES
M000355,117,2021-01-03,1,A resolution establishing a Committee to Inform the President of the United States that a quorum of each House is assembled.,SRES
M000355,117,2021-01-03,4,A resolution fixing the hour of daily meeting of the Senate.,SRES
M000355,117,2021-01-03,2,A resolution informing the House of Representatives that a quorum of the Senate is assembled.,SRES
M000355,116,2020-09-09,4547,Horseracing Integrity and Safety Act of 2020,S
M000355,116,2020-12-03,792,A resolution to authorize representation by the Senate Legal Counsel in the case of Chad Michael Frein v. Dianne Feinstein.,SRES
M000355,116,2020-01-15,471,A resolution authorizing the taking of a photograph in the Chamber of the United States Senate.,SRES
M000355,116,2020-09-24,4706,"A bill to amend the Intermodal Surface Transportation Efficiency Act of 1991 with respect to the Louie B. Nunn (Cumberland) Parkway, to amend title 23, United States Code, to modify a provision relating to the operation of vehicles on that highway, and for other purposes.",S
M000355,116,2020-10-19,,,
M000355,116,2020-09-08,,,
M000355,116,2020-09-24,,,
M000355,116,2020-09-24,,,
M000355,116,2020-03-16,3501,"A bill to provide a 77-day extension of certain authorities for foreign intelligence and international terrorism investigations, and for other purposes.",S
M000355,116,2020-07-30,,,
M000355,116,2020-08-06,676,A resolution to authorize the production of records by the Permanent Subcommittee on Investigations of the Committee on Homeland Security and Governmental Affairs.,SRES
M000355,116,2019-04-29,172,A resolution to authorize testimony in an administrative hearing for Bryan K. Stanley before the Mississippi Division of Medicaid.,SRES
M000355,116,2020-05-19,584,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Sixteenth Congress, or until their successors are chosen.",SRES
M000355,116,2020-05-19,582,A resolution designating Michael P. DiSilvestro as Director Emeritus of Senate Security of the United States Senate.,SRES
M000355,116,2020-06-10,,,
M000355,116,2020-06-10,,,
M000355,116,2020-06-10,,,
M000355,116,2020-06-10,,,
M000355,116,2020-06-10,,,
M000355,116,2020-06-10,,,
M000355,116,2020-06-10,,,
M000355,116,2020-03-19,3548,CARES Act,S
M000355,116,2019-12-05,2985,Kentucky Wildlands National Heritage Area Study Act,S
M000355,116,2020-02-05,493,"A resolution to authorize testimony, documents, and representation in United States v. Stahlnecker.",SRES
M000355,116,2019-12-19,459,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Sixteenth Congress, or until their successors are chosen.",SRES
M000355,116,2020-01-06,464,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Sixteenth Congress, or until their successors are chosen.",SRES
M000355,116,2019-12-12,455,"A resolution to authorize representation by the Senate Legal Counsel in the Case of Richard Arjun Kaul v. Senator Charles Schumer, et al.",SRES
M000355,116,2020-02-27,522,"A resolution electing Robert M. Duncan, of the District of Columbia, as Secretary for the Majority of the Senate.",SRES
M000355,116,2019-04-02,139,A resolution to authorize the production of records by the Permanent Subcommittee on Investigations of the Committee on Homeland Security and Governmental Affairs.,SRES
M000355,116,2019-10-24,384,A resolution to authorize testimony in United States v. Margaret Murphy.,SRES
M000355,116,2019-10-21,368,A resolution to authorize the production of records by the Permanent Subcommittee on Investigations of the Committee on Homeland Security and Governmental Affairs.,SRES
M000355,115,2018-04-23,2730,CAREER Act,S
M000355,116,2019-01-04,28,"A bill to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and for other purposes.",S
M000355,116,2020-04-21,,,
M000355,116,2020-03-25,,,
M000355,116,2019-07-24,2251,AGED Spirits Act,S
M000355,116,2019-10-30,2742,Federal Prisons Accountability Act of 2019,S
M000355,116,2020-02-11,,,
M000355,116,2020-02-11,,,
M000355,116,2020-01-31,488,"A resolution to provide for related procedures concerning the articles of impeachment against Donald John Trump, President of the United States.",SRES
M000355,116,2020-01-21,483,"A resolution to provide for related procedures concerning the articles of impeachment against Donald John Trump, President of the United States.",SRES
M000355,116,2019-12-17,,,
M000355,116,2019-12-17,,,
M000355,116,2019-12-17,,,
M000355,116,2019-12-17,,,
M000355,116,2019-12-17,,,
M000355,116,2019-12-17,,,
M000355,116,2019-12-17,,,
M000355,116,2019-12-17,,,
M000355,116,2019-12-17,,,
M000355,116,2019-12-17,,,
M000355,111,2009-06-18,1302,Veterans Health Care Improvement Act of 2009,S
M000355,112,2011-05-26,1089,Veterans Health Care Improvement Act of 2011,S
M000355,115,2018-07-26,3287,Camp Nelson Heritage National Monument Act,S
M000355,115,2018-06-28,3176,Mill Springs Battlefield National Monument Act,S
M000355,116,2019-06-10,240,"A resolution relative to the death of Dr. Lloyd John Ogilvie, Former Chaplain of the United States Senate.",SRES
M000355,116,2019-10-22,59,"A joint resolution expressing the sense of Congress on the precipitous withdrawal of United States Armed Forces from Syria and Afghanistan, and Turkey's unprovoked incursion into Syria.",SJRES
M000355,116,2019-10-17,,,
M000355,116,2019-10-17,,,
M000355,116,2019-04-03,1021,"A bill to amend the Intermodal Surface Transportation Efficiency Act of 1991 with respect to a portion of the Wendell H. Ford (Western Kentucky) Parkway, and for other purposes.",S
M000355,115,2018-04-19,2710,Protecting Moms and Infants Act,S
M000355,116,2019-07-11,,,
M000355,116,2019-07-11,,,
M000355,116,2019-06-24,,,
M000355,116,2019-06-24,,,
M000355,116,2019-06-24,,,
M000355,116,2019-06-24,,,
M000355,116,2019-06-24,,,
M000355,116,2019-06-24,,,
M000355,116,2019-03-12,107,A resolution to authorize testimony and representation in United States v. Taubert.,SRES
M000355,112,2011-09-19,,,
M000355,116,2019-05-07,192,A resolution to authorize testimony and representation in State of Nevada v. Lacamera.,SRES
