congress,number,introduced_date,type
118,954.0,2023-03-23,S
118,882.0,2023-03-21,S
118,759.0,2023-03-09,S
117,4562.0,2022-07-20,S
117,4737.0,2022-08-02,S
117,3369.0,2021-12-09,S
117,3633.0,2022-02-10,S
117,3210.0,2021-11-15,S
117,3004.0,2021-10-19,S
117,5020.0,2022-09-29,S
117,4841.0,2022-09-13,S
117,48.0,2022-09-29,SCONRES
117,4561.0,2022-07-20,S
117,4564.0,2022-07-20,S
117,3678.0,2022-02-17,S
117,2308.0,2021-07-12,S
117,4011.0,2022-04-06,S
117,3442.0,2022-01-05,S
117,3125.0,2021-11-01,S
117,4722.0,2022-08-02,S
117,2309.0,2021-07-12,S
117,2323.0,2021-07-13,S
117,4563.0,2022-07-20,S
117,2920.0,2021-09-30,S
117,2155.0,2021-06-21,S
117,3339.0,2021-12-08,S
117,2315.0,2021-07-12,S
117,3420.0,2021-12-16,S
117,1850.0,2021-05-26,S
117,518.0,2022-02-17,SRES
117,556.0,2022-03-24,SRES
117,3362.0,2021-12-09,S
117,3448.0,2022-01-10,S
117,3842.0,2022-03-15,S
117,451.0,2021-11-16,SRES
117,3689.0,2022-02-17,S
117,3700.0,2022-02-17,S
117,3696.0,2022-02-17,S
117,3704.0,2022-02-17,S
117,3688.0,2022-02-17,S
117,4728.0,2022-08-02,S
117,3432.0,2021-12-17,S
117,1032.0,2021-03-25,S
117,484.0,2022-01-05,SRES
117,1675.0,2021-05-18,S
117,3033.0,2021-10-20,S
117,437.0,2021-11-03,SRES
117,1823.0,2021-05-25,S
117,1031.0,2021-03-25,S
117,2859.0,2021-09-27,S
117,12.0,2021-08-03,SCONRES
117,2729.0,2021-09-14,S
117,245.0,2021-05-26,SRES
117,1042.0,2021-03-25,S
117,1803.0,2021-05-25,S
117,199.0,2021-04-29,SRES
117,278.0,2021-02-08,S
117,140.0,2021-03-25,SRES
117,23.0,2021-01-28,SRES
118,45.0,2023-02-09,SRES
118,332.0,2023-02-09,S
118,333.0,2023-02-09,S
118,348.0,2023-02-09,S
118,2556.0,2023-04-10,HR
118,1706.0,2023-03-22,HR
118,1503.0,2023-03-09,HR
118,834.0,2023-02-06,HR
118,751.0,2023-02-02,HR
118,501.0,2023-01-25,HR
118,383.0,2023-01-17,HR
117,9005.0,2022-09-28,HR
117,8850.0,2022-09-15,HR
117,8782.0,2022-09-09,HR
117,6926.0,2022-03-03,HR
117,6870.0,2022-02-28,HR
117,6811.0,2022-02-22,HR
117,5663.0,2021-10-21,HR
117,4264.0,2021-06-30,HR
117,5590.0,2021-10-15,HR
117,5450.0,2021-09-30,HR
117,4363.0,2021-07-06,HR
117,3868.0,2021-06-14,HR
117,3145.0,2021-05-12,HR
117,2363.0,2021-04-05,HR
117,1829.0,2021-03-11,HR
118,2770.0,2023-04-20,HR
118,1786.0,2023-03-24,HR
118,1591.0,2023-03-14,HR
118,1305.0,2023-03-01,HR
118,984.0,2023-02-10,HR
118,177.0,2023-01-09,HR
118,178.0,2023-01-09,HR
117,9555.0,2022-12-14,HR
117,9303.0,2022-11-15,HR
117,9267.0,2022-11-03,HR
117,9215.0,2022-10-21,HR
117,9060.0,2022-09-29,HR
117,8832.0,2022-09-15,HR
117,8758.0,2022-08-30,HR
117,8646.0,2022-08-02,HR
117,7939.0,2022-06-03,HR
117,7891.0,2022-05-27,HR
117,7801.0,2022-05-17,HR
117,7800.0,2022-05-17,HR
117,7612.0,2022-04-28,HR
117,7470.0,2022-04-07,HR
117,7369.0,2022-04-01,HR
117,6988.0,2022-03-08,HR
117,6685.0,2022-02-09,HR
117,6227.0,2021-12-09,HR
117,6112.0,2021-12-01,HR
117,5752.0,2021-10-27,HR
117,4772.0,2021-07-28,HR
117,4712.0,2021-07-27,HR
117,4657.0,2021-07-22,HR
117,4601.0,2021-07-21,HR
117,5401.0,2021-09-28,HR
117,5255.0,2021-09-14,HR
117,2523.0,2021-04-14,HR
117,3832.0,2021-06-11,HR
117,3665.0,2021-06-01,HR
117,3519.0,2021-05-25,HR
117,3326.0,2021-05-19,HR
117,3053.0,2021-05-07,HR
117,2367.0,2021-04-05,HR
117,2036.0,2021-03-18,HR
117,1836.0,2021-03-11,HR
117,1503.0,2021-03-02,HR
116,8743.0,2020-11-12,HR
116,8673.0,2020-10-23,HR
116,8635.0,2020-10-20,HR
116,8258.0,2020-09-15,HR
116,7542.0,2020-07-09,HR
116,7461.0,2020-07-01,HR
116,7105.0,2020-06-04,HR
116,6767.0,2020-05-08,HR
116,6606.0,2020-04-23,HR
116,5870.0,2020-02-12,HR
116,5516.0,2019-12-19,HR
116,5148.0,2019-11-18,HR
116,4926.0,2019-10-30,HR
116,4625.0,2019-10-08,HR
116,4609.0,2019-10-04,HR
116,4526.0,2019-09-26,HR
116,4039.0,2019-07-25,HR
116,3723.0,2019-07-11,HR
116,3681.0,2019-07-10,HR
116,470.0,2019-06-27,HRES
116,3225.0,2019-06-12,HR
116,2995.0,2019-05-23,HR
116,2924.0,2019-05-22,HR
116,2764.0,2019-05-15,HR
116,2326.0,2019-04-15,HR
116,1792.0,2019-03-14,HR
118,972.0,2023-03-23,S
118,874.0,2023-03-16,S
118,73.0,2023-02-16,SRES
118,643.0,2023-03-02,S
